X,Y,CCN,REPORT_DATE,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID,YEAR
400134.0,130213.0,19035602,2019-09-12 04:00:00+00:00,MIDNIGHT,OTHERS,HOMICIDE,3301 - 3699 BLOCK OF 6TH STREET SE,400134.0,130213.0,8.0,8C,7.0,705.0,Cluster 39,009804 2,9804.0,Precinct 122,38.8397130247,-76.9984565266,,2019-02-28 00:41:51+00:00,2019-03-01 11:00:49+00:00,717510011,,2019
402539.0,132397.0,19058463,2019-04-07 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,2421 - 2499 BLOCK OF WAGNER STREET SE,402539.0,132397.0,8.0,8B,7.0,702.0,Cluster 36,007502 1,7502.0,Precinct 134,38.8593837951,-76.970746574,,2019-04-07 05:34:55+00:00,,717510032,,2019
399099.0,128076.0,17084415,2019-01-28 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,130 - 199 BLOCK OF IRVINGTON STREET SW,399099.0,128076.0,8.0,8D,7.0,708.0,Cluster 39,010900 1,10900.0,Precinct 126,38.820461485,-77.0103753333,,2017-05-20 02:58:53+00:00,2017-05-20 06:26:45+00:00,717510466,,2019
400588.0,129470.0,19079851,2019-05-09 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,800 - 899 BLOCK OF XENIA STREET SE,400588.0,129470.0,8.0,8E,7.0,706.0,Cluster 39,009801 1,9801.0,Precinct 121,38.833019556,-76.9932277814,,2019-05-09 21:16:26+00:00,2019-05-09 21:18:07+00:00,717527111,,2019
399214.789999999,137753.75,19008438,2019-01-15 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1200 - 1499 BLOCK OF NORTH CAPITOL STREET,399214.79,137753.75,6.0,6E,1.0,102.0,Cluster 8,004704 2,4704.0,Precinct 1,38.9076427724,-77.0090530223,,2019-01-15 20:05:16+00:00,2019-01-15 20:07:52+00:00,717528993,,2019
393653.0,139889.0,19003351,2019-01-06 05:00:00+00:00,MIDNIGHT,OTHERS,HOMICIDE,2800 - 2899 BLOCK OF WISCONSIN AVENUE NW,393653.0,139889.0,3.0,3B,2.0,204.0,Cluster 14,000704 2,704.0,Precinct 28,38.9268552377,-77.0731970042,,2019-01-06 09:14:43+00:00,2019-01-06 09:40:58+00:00,717529625,,2019
397752.0,141730.0,19032221,2019-02-24 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,4300  - 4399 BLOCK OF GEORGIA AVENUE NW,397752.0,141730.0,4.0,4C,4.0,404.0,Cluster 18,002501 1,2501.0,Precinct 48,38.9434595642,-77.0259311761,,2019-02-24 06:24:13+00:00,2019-02-24 06:27:54+00:00,717532323,,2019
399117.0,128601.0,19007330,2019-01-13 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,20 - 199 BLOCK OF FORRESTER STREET SW,399117.0,128601.0,8.0,8D,7.0,708.0,Cluster 39,009807 2,9807.0,Precinct 126,38.8251909525,-77.0101687304,,2019-01-13 06:17:12+00:00,,717532665,,2019
399117.0,128601.0,19007330,2019-01-13 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,20 - 199 BLOCK OF FORRESTER STREET SW,399117.0,128601.0,8.0,8D,7.0,708.0,Cluster 39,009807 2,9807.0,Precinct 126,38.8251909525,-77.0101687304,,2019-01-13 06:17:12+00:00,,717532666,,2019
405593.0,134807.0,19032640,2019-02-24 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,600 - 699 BLOCK OF 46TH PLACE SE,405593.0,134807.0,7.0,7F,6.0,604.0,Cluster 33,009907 2,9907.0,Precinct 103,38.881079928,-76.9355399088,,2019-02-25 03:02:42+00:00,2019-02-25 05:21:00+00:00,717533574,,2019
