X,Y,CCN,REPORT_DATE,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID,YEAR
399454.609999999,134294.649999999,24202286,2025-01-01 04:34:58+00:00,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,56 - 99 BLOCK OF M STREET SE,399454.61,134294.65,8.0,8F,1.0,106.0,Cluster 27,007201 1,7201.0,Precinct 131,38.8764820976,-77.0062852889,CAPITOL RIVERFRONT,2025-01-01 02:53:00+00:00,,748881759,,2025
400312.142800003,132107.1435,25121489,2025-08-10 14:10:38+00:00,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,2900 - 2999 BLOCK OF POMEROY ROAD SE,400312.142750243,132107.143512026,8.0,8C,7.0,703.0,Cluster 37,007401 2,7401.0,Precinct 119,38.8567762544,-76.9964037373,ANACOSTIA,2025-08-10 11:00:00+00:00,2025-08-10 14:10:00+00:00,786341091,,2025
398185.990000002,136884.629999999,25069533,2025-05-11 11:58:02+00:00,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,600 - 699 BLOCK OF H STREET NW,398185.99,136884.63,2.0,2C,1.0,101.0,Cluster 8,005801 2,5801.0,Precinct 129,38.8998119121,-77.0209122021,DOWNTOWN,2025-05-11 07:24:00+00:00,2025-05-11 12:00:00+00:00,786341321,,2025
399975.629199997,128251.6811,25063398,2025-05-01 06:33:39+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,100 - 499 BLOCK OF SOUTHERN AVENUE SE,399975.62918193,128251.681108448,8.0,8E,7.0,708.0,Cluster 39,009811 1,9811.0,Precinct 125,38.8220445651,-77.0002806448,,2025-05-01 02:38:00+00:00,2025-05-01 04:00:00+00:00,786341502,,2025
396206.020000003,138635.059999999,25106573,2025-07-15 07:13:34+00:00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,1900 - 1917 BLOCK OF T STREET NW,396206.02,138635.06,2.0,2B,2.0,208.0,Cluster 6,004202 2,4202.0,Precinct 14,38.9155740736,-77.0437472858,,2025-07-15 05:39:00+00:00,2025-07-15 07:15:00+00:00,786341614,,2025
397063.060000002,139725.800000001,25114425,2025-07-29 01:08:15+00:00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,1400 - 1499 BLOCK OF GIRARD STREET NW,397063.06,139725.8,1.0,1A,3.0,304.0,Cluster 2,003702 2,3702.0,Precinct 36,38.925403095,-77.0338696729,,2025-07-28 22:36:00+00:00,2025-07-29 01:00:00+00:00,786341904,,2025
402455.424900003,133959.9509,25027571,2025-02-25 20:20:33+00:00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,2334 - 2413 BLOCK OF L'ENFANT SQUARE SE,402455.424864232,133959.950873745,7.0,7B,6.0,607.0,Cluster 34,007601 1,7601.0,Precinct 111,38.8734637357,-76.9717039142,,2025-02-25 19:30:00+00:00,2025-02-25 23:00:00+00:00,786341908,,2025
399223.469999999,142647.100000001,25036012,2025-03-13 07:41:48+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,5000 - 5099 BLOCK OF NORTH CAPITOL STREET,399223.47,142647.1,5.0,5A,4.0,405.0,Cluster 19,009510 1,9510.0,Precinct 44,38.9517235894,-77.0089584833,,2025-03-13 04:30:00+00:00,2025-03-13 04:35:00+00:00,786342417,,2025
400895.689999998,138267.5,25106587,2025-07-15 09:12:08+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,900 - 1080 BLOCK OF MOUNT OLIVET ROAD NE,400895.69,138267.5,5.0,5D,5.0,506.0,Cluster 23,008803 1,8803.0,Precinct 76,38.9122707025,-76.9896725364,,2025-07-15 04:27:00+00:00,2025-07-15 09:12:00+00:00,786342489,,2025
400229.740000002,129046.280000001,25099239,2025-07-02 19:42:39+00:00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,600 - 718 BLOCK OF CHESAPEAKE STREET SE,400229.74,129046.28,8.0,8E,7.0,706.0,Cluster 39,009811 3,9811.0,Precinct 125,38.8292026565,-76.9973541389,,2025-07-02 17:03:00+00:00,2025-07-02 19:15:00+00:00,786342539,,2025
400133.428599998,130948.2555,25126016,2025-08-19 02:09:37+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,500 - 699 BLOCK OF MELLON STREET SE,400133.428606077,130948.255478951,8.0,8C,7.0,707.0,Cluster 39,010400 3,10400.0,Precinct 123,38.846336534,-76.9984629656,,2025-08-18 21:33:00+00:00,2025-08-19 00:53:00+00:00,786342706,,2025
405964.509999998,134419.23,25059239,2025-04-24 01:50:05+00:00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,5000 - 5069 BLOCK OF BENNING ROAD SE,405964.51,134419.23,7.0,7E,6.0,604.0,Cluster 33,007707 3,7707.0,Precinct 106,38.8775843035,-76.9312615719,,2025-04-24 00:05:00+00:00,2025-04-24 02:00:00+00:00,786342765,,2025
400211.171700001,132550.704,25100849,2025-07-05 08:39:24+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1100 - 1237 BLOCK OF SUMNER ROAD SE,400211.171742149,132550.703960438,8.0,8C,7.0,703.0,Cluster 37,007401 1,7401.0,Precinct 119,38.8607720644,-76.9975669094,ANACOSTIA,2025-07-05 06:53:00+00:00,2025-07-05 08:39:00+00:00,786343490,,2025
405524.056500003,136291.8598,25107684,2025-07-17 04:32:19+00:00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,4500 - 4699 BLOCK OF DIX STREET NE,405524.056483079,136291.85983591,7.0,7F,6.0,602.0,Cluster 30,007803 3,7803.0,Precinct 98,38.8944565392,-76.9363225549,,2025-07-17 02:50:00+00:00,2025-07-17 04:32:00+00:00,786343615,,2025
398099.299999997,137916.59,25106999,2025-07-16 00:11:10+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,1400 - 1499 BLOCK OF 7TH STREET NW,398099.3,137916.59,2.0,2G,3.0,308.0,Cluster 7,004801 1,4801.0,Precinct 18,38.9091079868,-77.0219144344,,2025-07-15 22:03:00+00:00,2025-07-16 00:00:00+00:00,786344169,,2025
402248.435000002,133774.269000001,25000057,2025-01-01 07:39:16+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,2200 - 2299 BLOCK OF MINNESOTA AVENUE SE,402248.435040039,133774.268985573,8.0,8A,6.0,607.0,Cluster 34,007601 2,7601.0,Precinct 133,38.8717915923,-76.9740898528,,2025-01-01 05:38:00+00:00,2025-01-01 05:40:00+00:00,786344787,,2025
400489.770000003,128759.199999999,25049325,2025-04-05 08:48:46+00:00,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,700 - 860 BLOCK OF SOUTHERN AVENUE SE,400489.77,128759.2,8.0,8E,7.0,706.0,Cluster 39,009811 2,9811.0,Precinct 125,38.8266163993,-76.9943596393,,2025-04-05 06:43:00+00:00,2025-04-05 08:30:00+00:00,786345008,,2025
398403.130000003,142170.859999999,25093616,2025-06-23 01:03:17+00:00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,400 - 499 BLOCK OF CRITTENDEN STREET NW,398403.13,142170.86,4.0,4D,4.0,407.0,Cluster 18,002202 2,2202.0,Precinct 46,38.9474323803,-77.0184212743,,2025-06-22 21:07:00+00:00,2025-06-23 00:07:00+00:00,786345372,,2025
406120.938100003,136198.864500001,25101424,2025-07-06 08:04:44+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,5000 - 5099 BLOCK OF BANKS PLACE NE,406120.938083633,136198.864507823,7.0,7C,6.0,602.0,Cluster 31,007804 2,7804.0,Precinct 97,38.8936148501,-76.9294429539,,2025-07-06 04:48:00+00:00,2025-07-06 08:05:00+00:00,786345373,,2025
