X,Y,CCN,REPORT_DATE,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID,YEAR
394534.850000001,142223.620000001,24202200,2025-01-01 02:15:38+00:00,EVENING,OTHERS,BURGLARY,3000 - 3199 BLOCK OF ALBEMARLE STREET NW,394534.85,142223.62,3.0,3F,2.0,203.0,Cluster 12,001303 4,1303.0,Precinct 138,38.9478921083,-77.0630456354,,2024-12-18 17:00:00+00:00,2024-12-31 23:30:00+00:00,748660547,,2025
397609.700000003,137976.489999998,25032316,2025-03-06 17:24:53+00:00,DAY,OTHERS,BURGLARY,1100 - 1199 BLOCK OF P STREET NW,397609.7,137976.49,2.0,2F,3.0,307.0,Cluster 7,005004 2,5004.0,Precinct 17,38.9096463914,-77.0275595666,,2025-03-06 09:29:00+00:00,2025-03-06 09:47:00+00:00,786340802,,2025
397833.780000001,137709.100000001,25013063,2025-01-28 07:01:10+00:00,MIDNIGHT,OTHERS,BURGLARY,900 - 999 BLOCK OF N STREET NW,397833.78,137709.1,2.0,2G,3.0,307.0,Cluster 7,004902 1,4902.0,Precinct 129,38.9072382311,-77.0249751364,,2025-01-28 05:18:00+00:00,2025-01-28 07:01:00+00:00,786340948,,2025
400929.560000002,139738.73,25007276,2025-01-16 16:07:50+00:00,DAY,OTHERS,BURGLARY,1200 - 1299 BLOCK OF FRANKLIN STREET NE,400929.56,139738.73,5.0,5B,5.0,504.0,Cluster 22,009302 1,9302.0,Precinct 73,38.9255239889,-76.9892800174,,2025-01-16 07:41:00+00:00,2025-01-16 07:47:00+00:00,786342072,,2025
396740.859999999,140161.399999999,25024894,2025-02-20 17:16:01+00:00,DAY,OTHERS,BURGLARY,3100 - 3145 BLOCK OF MOUNT PLEASANT STREET NW,396740.86,140161.4,1.0,1D,3.0,302.0,Cluster 2,002702 1,2702.0,Precinct 39,38.92932598,-77.0375874479,,2025-02-20 05:01:00+00:00,2025-02-20 07:00:00+00:00,786342611,,2025
397228.869999997,138264.18,25061270,2025-04-27 16:43:51+00:00,DAY,OTHERS,BURGLARY,1618 - 1699 BLOCK OF 14TH STREET NW,397228.87,138264.18,2.0,2F,3.0,301.0,Cluster 7,005202 3,5202.0,Precinct 16,38.9122368826,-77.0319516027,,2025-04-27 04:01:00+00:00,2025-04-27 13:10:00+00:00,786342665,,2025
397162.310000002,140976.59,25015164,2025-02-01 04:32:08+00:00,MIDNIGHT,OTHERS,BURGLARY,3600 - 3699 BLOCK OF 14TH STREET NW,397162.31,140976.59,1.0,1D,4.0,408.0,Cluster 2,002801 2,2801.0,Precinct 41,38.9366709208,-77.0327302639,,2025-01-31 22:00:00+00:00,2025-02-01 02:10:00+00:00,786343193,,2025
396370.0,139140.199999999,25076797,2025-05-24 00:13:32+00:00,EVENING,OTHERS,BURGLARY,2300 - 2399 BLOCK OF 18TH STREET NW,396370.0,139140.2,1.0,1C,3.0,303.0,Cluster 1,003802 1,3802.0,Precinct 24,38.9201252331,-77.041859151,ADAMS MORGAN,2025-05-23 17:55:00+00:00,2025-05-23 22:46:00+00:00,786343536,,2025
398099.009999998,137299.969999999,25017287,2025-02-05 11:00:45+00:00,MIDNIGHT,OTHERS,BURGLARY,1004 - 1099 BLOCK OF 7TH STREET NW,398099.01,137299.97,2.0,2G,3.0,308.0,Cluster 8,004802 2,4802.0,Precinct 18,38.9035532587,-77.0219160712,,2025-02-05 09:14:00+00:00,2025-02-05 10:50:00+00:00,786343884,,2025
401970.25,137968.079999998,25002257,2025-01-05 14:53:35+00:00,DAY,OTHERS,BURGLARY,1241 - 1699 BLOCK OF BLADENSBURG ROAD NE,401970.25,137968.08,5.0,5C,5.0,503.0,Cluster 23,011100 3,11100.0,Precinct 78,38.9095716732,-76.9772835297,,2025-01-05 13:41:00+00:00,,786344046,,2025
396104.359999999,136789.760000002,25121722,2025-08-10 23:40:43+00:00,EVENING,OTHERS,BURGLARY,700 - 799 BLOCK OF 20TH STREET NW,396104.36,136789.76,2.0,2A,2.0,207.0,Cluster 5,010800 6,10800.0,Precinct 2,38.8989505288,-77.0449090303,,2025-08-10 21:07:00+00:00,2025-08-10 22:14:00+00:00,786345194,,2025
397161.649999999,140414.41,25057799,2025-04-21 16:43:20+00:00,DAY,OTHERS,BURGLARY,3400 - 3416 BLOCK OF 14TH STREET NW,397161.65,140414.41,1.0,1A,4.0,408.0,Cluster 2,002802 1,2802.0,Precinct 41,38.9316066319,-77.0327355512,,2025-04-21 14:57:00+00:00,2025-04-21 15:07:00+00:00,786345492,,2025
401893.189999998,133657.800900001,25056865,2025-04-19 19:50:20+00:00,EVENING,OTHERS,BURGLARY,1800 - 1899 BLOCK OF Q STREET SE,401893.18998371,133657.800857465,8.0,8A,6.0,607.0,Cluster 34,007601 3,7601.0,Precinct 140,38.870743237,-76.9781838881,,2025-04-19 18:41:00+00:00,2025-04-19 19:45:00+00:00,786345798,,2025
