WARD,YEAR,OFFENSE,COUNT
1.0,2019,ARSON,1
1.0,2019,ASSAULT W/DANGEROUS WEAPON,163
1.0,2019,BURGLARY,135
1.0,2019,HOMICIDE,16
1.0,2019,MOTOR VEHICLE THEFT,248
1.0,2019,ROBBERY,407
1.0,2019,SEX ABUSE,17
1.0,2019,THEFT F/AUTO,1690
1.0,2019,THEFT/OTHER,2148
1.0,2020,ARSON,1
1.0,2020,ASSAULT W/DANGEROUS WEAPON,139
1.0,2020,BURGLARY,147
1.0,2020,HOMICIDE,14
1.0,2020,MOTOR VEHICLE THEFT,401
1.0,2020,ROBBERY,263
1.0,2020,SEX ABUSE,19
1.0,2020,THEFT F/AUTO,971
1.0,2020,THEFT/OTHER,1587
1.0,2021,ASSAULT W/DANGEROUS WEAPON,162
1.0,2021,BURGLARY,163
1.0,2021,HOMICIDE,13
1.0,2021,MOTOR VEHICLE THEFT,500
1.0,2021,ROBBERY,293
1.0,2021,SEX ABUSE,24
1.0,2021,THEFT F/AUTO,1336
1.0,2021,THEFT/OTHER,1703
1.0,2022,ASSAULT W/DANGEROUS WEAPON,93
1.0,2022,BURGLARY,102
1.0,2022,HOMICIDE,14
1.0,2022,MOTOR VEHICLE THEFT,455
1.0,2022,ROBBERY,299
1.0,2022,SEX ABUSE,16
1.0,2022,THEFT F/AUTO,1402
1.0,2022,THEFT/OTHER,1572
1.0,2023,ARSON,1
1.0,2023,ASSAULT W/DANGEROUS WEAPON,146
1.0,2023,BURGLARY,160
1.0,2023,HOMICIDE,28
1.0,2023,MOTOR VEHICLE THEFT,674
1.0,2023,ROBBERY,547
1.0,2023,SEX ABUSE,15
1.0,2023,THEFT F/AUTO,1438
1.0,2023,THEFT/OTHER,2227
1.0,2024,ASSAULT W/DANGEROUS WEAPON,83
1.0,2024,BURGLARY,166
1.0,2024,HOMICIDE,15
1.0,2024,MOTOR VEHICLE THEFT,519
1.0,2024,ROBBERY,424
1.0,2024,SEX ABUSE,22
1.0,2024,THEFT F/AUTO,951
1.0,2024,THEFT/OTHER,2193
1.0,2025,ASSAULT W/DANGEROUS WEAPON,60
1.0,2025,BURGLARY,62
1.0,2025,HOMICIDE,7
1.0,2025,MOTOR VEHICLE THEFT,197
1.0,2025,ROBBERY,170
1.0,2025,SEX ABUSE,4
1.0,2025,THEFT F/AUTO,470
1.0,2025,THEFT/OTHER,1157
2.0,2019,ARSON,1
2.0,2019,ASSAULT W/DANGEROUS WEAPON,146
2.0,2019,BURGLARY,207
2.0,2019,MOTOR VEHICLE THEFT,269
2.0,2019,ROBBERY,276
2.0,2019,SEX ABUSE,30
2.0,2019,THEFT F/AUTO,2429
2.0,2019,THEFT/OTHER,4117
2.0,2020,ARSON,4
2.0,2020,ASSAULT W/DANGEROUS WEAPON,98
2.0,2020,BURGLARY,375
2.0,2020,HOMICIDE,9
2.0,2020,MOTOR VEHICLE THEFT,327
2.0,2020,ROBBERY,164
2.0,2020,SEX ABUSE,18
2.0,2020,THEFT F/AUTO,1249
2.0,2020,THEFT/OTHER,2443
2.0,2021,ARSON,1
2.0,2021,ASSAULT W/DANGEROUS WEAPON,117
2.0,2021,BURGLARY,171
2.0,2021,HOMICIDE,7
2.0,2021,MOTOR VEHICLE THEFT,475
2.0,2021,ROBBERY,199
2.0,2021,SEX ABUSE,21
2.0,2021,THEFT F/AUTO,1834
2.0,2021,THEFT/OTHER,2531
2.0,2022,ASSAULT W/DANGEROUS WEAPON,98
2.0,2022,BURGLARY,198
2.0,2022,HOMICIDE,11
2.0,2022,MOTOR VEHICLE THEFT,395
2.0,2022,ROBBERY,235
2.0,2022,SEX ABUSE,26
2.0,2022,THEFT F/AUTO,1333
