X,Y,CCN,REPORT_DATE,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID,YEAR
401165.840000004,138586.640000001,24202299,2025-01-01 04:46:14+00:00,MIDNIGHT,GUN,ROBBERY,1240 - 1399 BLOCK OF NEW YORK AVENUE NE,401165.84,138586.64,5.0,5D,5.0,506.0,Cluster 23,008803 1,8803.0,Precinct 76,38.915145306,-76.9865571175,,2025-01-01 04:11:00+00:00,,748659642,,2025
399277.700000003,129297.440000001,24202247,2025-01-01 03:23:41+00:00,EVENING,GUN,ROBBERY,1 - 99 BLOCK OF ATLANTIC STREET SW,399277.7,129297.44,8.0,8D,7.0,708.0,Cluster 39,009807 1,9807.0,Precinct 124,38.8314649558,-77.0083188214,,2025-01-01 01:30:00+00:00,2025-01-01 02:52:00+00:00,748708844,,2025
402887.823600002,134282.629799999,24202267,2025-01-01 04:25:48+00:00,MIDNIGHT,GUN,ROBBERY,2900 - 2943 BLOCK OF NELSON PLACE SE,402887.823648633,134282.629818045,7.0,7B,6.0,605.0,Cluster 34,007709 1,7709.0,Precinct 111,38.8763692422,-76.966719636,,2025-01-01 02:55:00+00:00,,748885993,,2025
397161.82,140477.52,25078342,2025-05-26 19:24:33+00:00,EVENING,GUN,ROBBERY,3413 - 3448 BLOCK OF 14TH STREET NW,397161.82,140477.52,1.0,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 41,38.9321751466,-77.0327338515,,2025-05-25 19:30:00+00:00,2025-05-25 19:35:00+00:00,784579396,,2025
399890.049999997,134459.280000001,25075196,2025-05-20 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1000 - 1099 BLOCK OF 3RD PLACE SE,399890.05,134459.28,8.0,8F,1.0,106.0,Cluster 27,007203 4,7203.0,Precinct 131,38.8779653118,-77.0012671334,CAPITOL RIVERFRONT,2025-05-21 01:35:00+00:00,2025-05-21 01:38:00+00:00,784579411,,2025
400891.339699998,131932.534699999,25102553,2025-07-08 07:26:56+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,2400 - 2699 BLOCK OF POMEROY ROAD SE,400891.33974278,131932.534679864,8.0,8B,7.0,703.0,Cluster 37,007406 2,7406.0,Precinct 118,38.8552029073,-76.9897309123,,2025-07-08 05:44:00+00:00,,784579436,,2025
404541.469999999,136535.379999999,25064435,2025-05-03 01:03:59+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,404541.47,136535.38,7.0,7F,6.0,602.0,Cluster 30,007803 1,7803.0,Precinct 99,38.8966558827,-76.9476475094,,2025-05-02 22:29:00+00:00,2025-05-02 23:37:00+00:00,784579448,,2025
401535.270000003,131621.84,25112842,2025-07-26 07:40:30+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,3033 - 3098 BLOCK OF STANTON ROAD SE,401535.27,131621.84,8.0,8C,7.0,704.0,Cluster 38,007404 1,7404.0,Precinct 117,38.8524031478,-76.9823129126,,2025-07-26 03:00:00+00:00,2025-07-26 04:46:00+00:00,784579450,,2025
402071.299999997,131148.350000001,25110851,2025-07-22 21:23:52+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,1900 - 2199 BLOCK OF SAVANNAH TERRACE SE,402071.3,131148.35,8.0,8C,7.0,704.0,Cluster 38,007403 1,7403.0,Precinct 116,38.848136645,-76.9761390018,,2025-07-22 18:58:00+00:00,2025-07-22 21:24:00+00:00,784579513,,2025
404691.240000002,137003.289999999,25057355,2025-04-20 17:19:24+00:00,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,740 - 899 BLOCK OF KENILWORTH AVENUE NE,404691.24,137003.29,7.0,7D,6.0,601.0,Cluster 30,009602 2,9602.0,Precinct 100,38.9008701974,-76.9459178177,,2025-04-20 15:36:00+00:00,2025-04-20 17:20:00+00:00,784579528,,2025
399531.539999999,134674.780000001,25060639,2025-04-26 07:45:30+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,800 - 899 BLOCK OF NEW JERSEY AVENUE SE,399531.54,134674.78,6.0,8F,1.0,106.0,Cluster 27,007202 3,7202.0,Precinct 131,38.8799065024,-77.0053989764,CAPITOL RIVERFRONT,2025-04-26 05:20:00+00:00,2025-04-26 07:00:00+00:00,784579530,,2025
397884.670000002,141009.469999999,25062803,2025-04-29 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,3700 - 3799 BLOCK OF GEORGIA AVENUE NW,397884.67,141009.47,4.0,4C,4.0,404.0,Cluster 18,002503 2,2503.0,Precinct 49,38.9369691497,-77.024398577,,2025-04-30 01:01:00+00:00,2025-04-30 01:04:00+00:00,784579531,,2025
405418.542999998,135771.724300001,25069499,2025-05-11 08:11:37+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,BENNING ROAD NE AND EAST CAPITOL STREET,405418.54297898,135771.72425143,7.0,7E,6.0,608.0,Cluster 33,009906 1,9906.0,Precinct 103,38.8897716226,-76.9375429422,,2025-05-10 07:55:00+00:00,2025-05-11 08:13:00+00:00,784579541,,2025
398750.240000002,136855.399999999,25087025,2025-06-11 06:28:35+00:00,MIDNIGHT,GUN,ROBBERY,200 - 299 BLOCK OF MASSACHUSETTS AVENUE NW,398750.24,136855.4,6.0,6E,1.0,101.0,Cluster 8,005900 2,5900.0,Precinct 143,38.8995495811,-77.0144073834,DOWNTOWN,2025-06-11 00:30:00+00:00,2025-06-11 05:42:00+00:00,784580176,,2025
397243.780000001,140420.09,25073961,2025-05-19 03:29:50+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1330 - 1399 BLOCK OF MONROE STREET NW,397243.78,140420.09,1.0,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 41,38.9316580605,-77.0317883439,,2025-05-19 00:50:00+00:00,2025-05-19 01:00:00+00:00,784580495,,2025
