X,Y,CCN,REPORT_DATE,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID,YEAR
399890.049999997,134459.280000001,25075196,2025-05-20 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1000 - 1099 BLOCK OF 3RD PLACE SE,399890.05,134459.28,8.0,8F,1.0,106.0,Cluster 27,007203 4,7203.0,Precinct 131,38.8779653118,-77.0012671334,CAPITOL RIVERFRONT,2025-05-21 01:35:00+00:00,2025-05-21 01:38:00+00:00,784579411,,2025
397884.670000002,141009.469999999,25062803,2025-04-29 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,3700 - 3799 BLOCK OF GEORGIA AVENUE NW,397884.67,141009.47,4.0,4C,4.0,404.0,Cluster 18,002503 2,2503.0,Precinct 49,38.9369691497,-77.024398577,,2025-04-30 01:01:00+00:00,2025-04-30 01:04:00+00:00,784579531,,2025
401627.936999999,132937.326900002,25052409,2025-04-11 04:00:00+00:00,MIDNIGHT,OTHERS,HOMICIDE,1600 - 1699 BLOCK OF V STREET SE,401627.936959464,132937.326936797,8.0,8A,7.0,701.0,Cluster 28,007504 2,7504.0,Precinct 114,38.8642534441,-76.9812422284,,2025-04-11 03:18:00+00:00,2025-04-11 03:19:00+00:00,784579789,,2025
406827.329999998,136094.550000001,22058767,2025-06-30 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,200 - 399 BLOCK OF 56TH STREET NE,406827.33,136094.55,7.0,7C,6.0,608.0,Cluster 31,007808 3,7808.0,Precinct 96,38.8926699447,-76.9213013002,,2022-04-28 02:21:00+00:00,2022-04-28 05:00:00+00:00,784581921,,2025
399489.988899998,134459.5255,25017092,2025-02-04 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1000 - 1099 BLOCK OF 1ST STREET SE,399489.98889348,134459.525530209,6.0,8F,1.0,106.0,Cluster 27,007202 2,7202.0,Precinct 131,38.8779673826,-77.005877691,CAPITOL RIVERFRONT,2025-02-04 21:28:00+00:00,2025-02-05 03:56:00+00:00,784583150,,2025
399216.590000004,128099.120000001,25073396,2025-05-17 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,108 - 149 BLOCK OF IRVINGTON STREET SW,399216.59,128099.12,8.0,8D,7.0,708.0,Cluster 39,010900 2,10900.0,Precinct 126,38.8206698736,-77.0090212692,,2025-05-18 00:21:00+00:00,2025-05-18 03:42:00+00:00,784593063,,2025
405516.740000002,138216.93,25006012,2025-01-13 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,4500 - 4529 BLOCK OF QUARLES STREET NE,405516.74,138216.93,7.0,7D,6.0,601.0,Cluster 29,009601 1,9601.0,Precinct 92,38.9117982933,-76.9363914318,,2025-01-13 23:38:00+00:00,2025-01-13 23:39:00+00:00,784593444,,2025
401174.995300002,130512.295000002,25056255,2025-04-18 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1303 - 1358 BLOCK OF CONGRESS STREET SE,401174.995263043,130512.294966546,8.0,8E,7.0,705.0,Cluster 38,007304 4,7304.0,Precinct 120,38.8424084336,-76.986465355,,2025-04-18 16:24:00+00:00,2025-04-18 16:25:00+00:00,784594290,,2025
401935.32,136325.5,25093308,2025-06-22 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1823 - 1899 BLOCK OF D STREET NE,401935.32,136325.5,7.0,7D,5.0,507.0,Cluster 25,007901 2,7901.0,Precinct 81,38.8947748077,-76.9776908917,,2025-06-22 04:30:00+00:00,2025-06-22 04:31:00+00:00,784594776,,2025
401935.32,136325.5,25093308,2025-06-22 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1823 - 1899 BLOCK OF D STREET NE,401935.32,136325.5,7.0,7D,5.0,507.0,Cluster 25,007901 2,7901.0,Precinct 81,38.8947748077,-76.9776908917,,2025-06-22 04:30:00+00:00,2025-06-22 04:31:00+00:00,784594777,,2025
