X,Y,CCN,REPORT_DATE,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID,YEAR
401165.840000004,138586.640000001,24202299,2025-01-01 04:46:14+00:00,MIDNIGHT,GUN,ROBBERY,1240 - 1399 BLOCK OF NEW YORK AVENUE NE,401165.84,138586.64,5.0,5D,5.0,506.0,Cluster 23,008803 1,8803.0,Precinct 76,38.915145306,-76.9865571175,,2025-01-01 04:11:00+00:00,,748659642,,2025
399277.700000003,129297.440000001,24202247,2025-01-01 03:23:41+00:00,EVENING,GUN,ROBBERY,1 - 99 BLOCK OF ATLANTIC STREET SW,399277.7,129297.44,8.0,8D,7.0,708.0,Cluster 39,009807 1,9807.0,Precinct 124,38.8314649558,-77.0083188214,,2025-01-01 01:30:00+00:00,2025-01-01 02:52:00+00:00,748708844,,2025
402887.823600002,134282.629799999,24202267,2025-01-01 04:25:48+00:00,MIDNIGHT,GUN,ROBBERY,2900 - 2943 BLOCK OF NELSON PLACE SE,402887.823648633,134282.629818045,7.0,7B,6.0,605.0,Cluster 34,007709 1,7709.0,Precinct 111,38.8763692422,-76.966719636,,2025-01-01 02:55:00+00:00,,748885993,,2025
401146.840000004,130808.510000002,25005845,2025-01-13 20:37:44+00:00,EVENING,GUN,ROBBERY,1290 - 1408 BLOCK OF ALABAMA AVENUE SE,401146.84,130808.51,8.0,8C,7.0,703.0,Cluster 43,007404 2,7404.0,Precinct 117,38.8450769076,-76.9867891787,,2025-01-13 19:16:00+00:00,,786340647,,2025
400186.171300001,134410.486000001,25101237,2025-07-05 23:25:36+00:00,EVENING,GUN,ROBBERY,500 - 699 BLOCK OF L STREET SE,400186.171326126,134410.486010164,8.0,8F,1.0,106.0,Cluster 27,007203 2,7203.0,Precinct 131,38.8775257435,-76.997854457,CAPITOL RIVERFRONT,2025-07-05 22:14:00+00:00,,786340740,,2025
399765.600000001,137802.800000001,25119671,2025-08-07 03:49:29+00:00,MIDNIGHT,OTHERS,ROBBERY,200 - 299 BLOCK OF FLORIDA AVENUE NE,399765.6,137802.8,6.0,6E,5.0,501.0,Cluster 23,010601 2,10601.0,Precinct 144,38.9080849512,-77.0027025147,NOMA,2025-08-07 02:23:00+00:00,,786340831,,2025
397867.93,140010.199999999,25078235,2025-05-26 15:10:57+00:00,DAY,OTHERS,ROBBERY,700 - 899 BLOCK OF COLUMBIA ROAD NW,397867.93,140010.2,1.0,1E,4.0,409.0,Cluster 2,003100 1,3100.0,Precinct 38,38.927967381,-77.0245885546,,2025-05-26 14:15:00+00:00,2025-05-26 15:11:00+00:00,786340944,,2025
399489.479999997,137372.649999999,25012434,2025-01-27 02:03:43+00:00,EVENING,OTHERS,ROBBERY,1100 - 1150 BLOCK OF 1ST STREET NE,399489.48,137372.65,6.0,6E,5.0,501.0,Cluster 25,010603 3,10603.0,Precinct 144,38.9042098931,-77.0058857204,NOMA,2025-01-27 01:10:00+00:00,2025-01-27 02:01:00+00:00,786340989,,2025
396787.609999999,140813.609999999,25100135,2025-07-04 04:26:56+00:00,MIDNIGHT,KNIFE,ROBBERY,BROWN STREET NW AND OAK STREET NW,396787.61001097,140813.61001611,1.0,1D,3.0,302.0,Cluster 2,002704 2,2704.0,Precinct 40,38.9352014584,-77.037051336,,2025-07-04 01:30:00+00:00,2025-07-04 01:45:00+00:00,786341216,,2025
396962.670000002,140798.640000001,25069828,2025-05-12 00:46:28+00:00,EVENING,OTHERS,ROBBERY,3517 - 3549 BLOCK OF CENTER STREET NW,396962.67,140798.64,1.0,1D,4.0,408.0,Cluster 2,002801 2,2801.0,Precinct 41,38.9350672266,-77.0350321482,,2025-05-11 22:49:00+00:00,2025-05-11 22:50:00+00:00,786341322,,2025
400042.661700003,130256.6138,25018502,2025-02-07 21:13:28+00:00,EVENING,OTHERS,ROBBERY,3400 - 3499 BLOCK OF 5TH STREET SE,400042.661661993,130256.613750309,8.0,8C,7.0,705.0,Cluster 39,009804 2,9804.0,Precinct 122,38.8401059262,-76.9995086007,,2025-02-07 19:19:00+00:00,2025-02-07 20:45:00+00:00,786341510,,2025
405687.600000001,137769.449999999,25093150,2025-06-22 01:16:12+00:00,EVENING,KNIFE,ROBBERY,4701 - 4799 BLOCK OF MINNESOTA AVENUE NE,405687.6,137769.45,7.0,7C,6.0,602.0,Cluster 31,007806 2,7806.0,Precinct 93,38.9077661521,-76.9344251057,,2025-06-21 23:30:00+00:00,2025-06-22 01:00:00+00:00,786341796,,2025
399345.920000002,138303.129999999,25026665,2025-02-24 04:01:11+00:00,MIDNIGHT,GUN,ROBBERY,10 - 99 BLOCK OF R STREET NE,399345.92,138303.13,5.0,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75,38.9125918826,-77.0075416916,,2025-02-24 00:55:00+00:00,2025-02-24 01:55:00+00:00,786341931,,2025
396217.890000001,138008.23,25059486,2025-04-24 15:40:27+00:00,DAY,OTHERS,ROBBERY,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,396217.89,138008.23,2.0,2B,2.0,208.0,Cluster 6,010700 2,10700.0,Precinct 14,38.9099274291,-77.0436069637,GOLDEN TRIANGLE,2025-04-24 12:28:00+00:00,2025-04-24 14:51:00+00:00,786342403,,2025
399950.235699996,130370.9597,25086808,2025-06-10 20:14:58+00:00,EVENING,GUN,ROBBERY,3300 - 3399 BLOCK OF 4TH STREET SE,399950.235741907,130370.959734415,8.0,8C,7.0,707.0,Cluster 39,009803 1,9803.0,Precinct 122,38.8411360058,-77.000573219,,2025-06-10 13:30:00+00:00,2025-06-10 14:00:00+00:00,786342658,,2025
398120.460000001,139391.23,25062017,2025-04-28 21:37:04+00:00,EVENING,OTHERS,ROBBERY,600 - 699 BLOCK OF HOWARD PLACE NW,398120.46,139391.23,1.0,1E,3.0,306.0,Cluster 3,003400 2,3400.0,Precinct 37,38.9223920797,-77.0216745035,,2025-04-28 17:45:00+00:00,2025-04-28 21:15:00+00:00,786342767,,2025
