X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
397430.659999996,136664.370000001,25423363,2025/08/13 16:02:18+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 13TH STREET NW,397430.66,136664.37,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8978258475,-77.0296189448,DOWNTOWN,2025/08/11 19:10:00+00,2025/08/11 19:50:00+00,782823202,
402216.5,139352.170000002,25109439,2025/07/20 08:24:03+00,MIDNIGHT,OTHERS,THEFT F/AUTO,2400 - 2499 BLOCK OF QUEENS CHAPEL ROAD NE,402216.5,139352.17,5,5C,5,505,Cluster 22,011100 3,011100,Precinct 72,38.9220394293,-76.9744398632,,2025/07/20 07:44:00+00,2025/07/20 08:24:00+00,783137998,
397162.060000002,140182.43,25110435,2025/07/22 01:47:50+00,EVENING,OTHERS,THEFT F/AUTO,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,38.9295168861,-77.0327298633,,2025/07/22 00:41:00+00,2025/07/22 01:44:00+00,783137999,
398274.119999997,138411.190000001,25110591,2025/07/22 12:35:53+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1705 - 1799 BLOCK OF 6TH STREET NW,398274.12,138411.19,2,2G,3,308,Cluster 7,004801 2,004801,Precinct 21,38.9135638723,-77.0199000615,,2025/07/22 02:00:00+00,2025/07/22 11:30:00+00,783138000,
400387.799999997,137463.760000002,25110688,2025/07/22 16:46:34+00,DAY,OTHERS,THEFT F/AUTO,700 - 799 BLOCK OF FLORIDA AVENUE NE,400387.8,137463.76,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.9050307067,-76.9955290515,,2025/07/22 01:00:00+00,2025/07/22 15:54:00+00,783138001,
401996.009999998,136793.940000001,25111010,2025/07/23 00:39:15+00,EVENING,OTHERS,THEFT/OTHER,1800 - 1869 BLOCK OF BENNING ROAD NE,401996.01,136793.94,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.8989945496,-76.9769899359,,2025/07/22 23:16:00+00,2025/07/23 00:39:00+00,783138002,
401568.590000004,136987.940000001,25111693,2025/07/24 05:21:35+00,MIDNIGHT,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF MARYLAND AVENUE NE,401568.59,136987.94,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.9007430378,-76.9819168035,,2025/07/24 04:12:00+00,2025/07/24 05:00:00+00,783138003,
405560.0,135351.059999999,25112407,2025/07/25 15:21:22+00,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,C STREET SE AND BENNING ROAD SE,405560.00000311,135351.05999504,7,7E,6,604,Cluster 33,009906 1,009906,Precinct 104,38.8859812378,-76.9359158364,,2025/07/24 21:02:00+00,,783138004,
395767.700000003,137916.559999999,25112926,2025/07/26 09:32:00+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF 22ND STREET NW,395767.7,137916.56,2,2B,2,208,Cluster 6,005503 2,005503,Precinct 14,38.9090995819,-77.0487969975,,2025/07/26 06:02:00+00,2025/07/26 07:38:00+00,783138005,
398619.82,138815.140000001,25113234,2025/07/27 23:01:37+00,EVENING,OTHERS,THEFT/OTHER,1924 - 1999 BLOCK OF 3RD STREET NW,398619.82,138815.14,1,1B,3,306,Cluster 3,003400 1,003400,Precinct 20,38.9172033994,-77.0159148194,,2025/07/26 21:45:00+00,2025/07/26 23:51:00+00,783138006,
