Lat,Long,Name labels ,Agency color,Agencies,,Location name (do not add to map - for internal reference)
38.8985199,-77.0279031,,Orange,National Guard,,Metro Center station
38.9013366,-77.0321777,,Orange,National Guard,,McPherson Square Metro station
38.8753877,-77.0053431,,Orange,National Guard,,Navy Yard
38.9288755,-77.0326636,,Black,Multiple agencies: FBI and ICE,,Columbia Heights Metro station
38.8843608,-76.9956686,,Orange,National Guard,,Eastern Market Metro station
38.8998161,-77.0215432,,Orange,National Guard,,Gallery Pl-Chinatown Metro station
38.89936637,-76.97943917,,Blue,ICE,,Benning Rd NE / 17th St NE
38.8884222,-77.0497273,Lincoln Memorial ,Orange,National Guard,,Lincoln Memorial Circle
38.8858111,-77.0218083,,Orange,National Guard,,L'Enfant Plaza Metro station
38.93138498,-77.0386146,,Blue,ICE,,Lamont St NW / Mt Pleasant St NW
38.9147104,-77.0229576,,Blue,ICE,,8th St NW / near S St NW
38.89219496,-77.03653391,,Orange,National Guard,,Constituiton Ave
38.88942653,-77.01721005,,Orange,National Guard,,4th St SW / Jefferson Dr SW (National Mall)
38.9126169,-77.0313748,,Blue,ICE,,R St NW / 14th St NW
38.89673178,-77.00722929,,Orange,National Guard,,Columbus Circle (outside Union Station)
38.91699332,-77.02471555,,Black,"Multiple agencies: FBI, DEA, US Marshals",,U St NW / Vermont Ave NW
38.9170262,-77.0273057,,Purple,US Marshals,,11th St NW / U St NW
38.9022926,-77.0495525,,Red,FBI,,Washington Circle NW
38.9064669,-77.0418323,,Yellow,DEA,,Dupont Circle
38.8892253,-77.0402741,,Orange,National Guard,,World War II Memorial
38.8983202,-77.0061136,Union Station,Orange,National Guard,,Union Station (inside)
38.8806866,-77.0365676,,Orange,National Guard,,Thomas Jefferson Memorial
38.8788974,-77.0248259,,Black,Multiple agencies: FBI and DEA,,The Wharf
38.91899277,-77.03196539,,Blue,ICE,,W St NW / 14th St NW
38.88793858,-77.04224621,,Black,Multiple agencies: ICE and U.S. Park Police ,,DC War Memorial
